Sector,Company_Count,A_ScaleValuation__Market Cap,A_ScaleValuation__P/E Ratio,A_ScaleValuation__P/S Ratio,A_ScaleValuation__Price,B_Profitability__EBIT,B_Profitability__EBITDA,B_Profitability__Gross Profit Margin,B_Profitability__Net Income,B_Profitability__Operating Profit Margin,B_Profitability__Return On Assets,B_Profitability__Return On Equity,B_Profitability__Return On Invested Capital,B_Profitability__Revenue,C_LevLiquidity__Current Ratio,C_LevLiquidity__Interest Coverage Ratio,C_LevLiquidity__Long-Term Debt,C_LevLiquidity__Quick Ratio,C_LevLiquidity__Short-Term Debt,C_LevLiquidity__Total Assets,C_LevLiquidity__Total Debt,C_LevLiquidity__Total Liabilities,D_CashFlow__Capital Expenditure,D_CashFlow__Cash And Short Term Investments,D_CashFlow__Dividends Paid,D_CashFlow__Free Cash Flow,D_CashFlow__Net Cash,D_CashFlow__Operating Cash Flow,D_CashFlow__Stock Based Compensation,E_CostOfCapital__After-Tax Cost of Debt,E_CostOfCapital__Effective Tax Rate,E_CostOfCapital__Equity Risk Premium,E_CostOfCapital__Pre-Tax Cost of Debt,E_CostOfCapital__Risk Free Rate,E_CostOfCapital__WACC
Basic Materials,21,41692779056.76,24.75,2.58,154.33,2015181047.62,3593726000.0,0.28,1292626571.43,0.14,0.06,0.15,0.11,16713315190.48,1.79,7.8,7060404142.86,1.2,1022839714.29,30886206904.76,8397011095.24,16486405666.67,-1611046952.38,1967914142.86,-766124047.62,1264545857.14,-6429096952.38,2875592809.52,74680428.57,0.05,-0.0,0.04,0.04,0.04,0.08
Communication Services,17,280591976839.53,24.48,2.53,134.13,14148558176.47,22354001411.76,0.43,10364794647.06,0.15,0.06,-3.75,0.1,71972139647.06,1.23,25.7,47266345647.06,1.17,3220784705.88,151723989588.24,50650164176.47,90234524529.41,-8355818882.35,14432434823.53,-1566811764.71,11783562647.06,-36217729352.94,20139381529.41,2523760352.94,0.03,0.21,0.04,0.04,0.04,0.07
Consumer Cyclical,50,88210770135.04,17.78,2.89,423.64,3501205319.98,5323480307.74,0.41,2786765840.0,0.14,0.1,-0.11,0.16,35579257060.0,2.12,17.48,14035441280.0,1.28,2951010624.36,41367036040.0,17392222740.0,30307486540.0,-2628244139.98,5997468420.0,-507025320.0,2347722640.02,-11394754320.0,4975966780.0,684188860.0,0.01,0.35,0.04,0.04,0.04,0.06
Consumer Defensive,31,87440100252.9,-19.26,2.59,110.8,4861173903.23,5979377516.13,0.38,3321134548.39,0.16,0.08,0.25,0.16,54183467870.97,1.15,10.26,12688683709.68,0.7,2027476258.03,44261057419.35,14812859967.74,29582833258.06,-1692748193.55,2939802548.39,-2093593161.29,3248506387.06,-11873057419.35,4941254580.61,194161096.77,0.08,-0.04,0.04,0.09,0.04,0.06
Energy,24,71836059776.0,15.44,2.65,95.43,8553749125.0,11565739291.67,0.32,5848781041.67,0.27,0.09,0.25,0.17,53709857083.33,1.42,19.81,12353679666.67,1.15,1298055333.33,64763464250.0,14318718333.33,32370676333.33,-4338692208.33,3850504166.67,-2349068291.67,5250536541.67,-10468214166.67,9589228750.0,155346250.0,0.03,0.21,0.04,0.04,0.04,0.09
Financial Services,67,92336929150.09,14.39,4.01,167.25,14130436656.72,5624581014.93,0.83,5856562313.43,0.28,0.06,0.1,0.13,30603159253.73,22.27,18.13,39117159059.7,88.04,15366663522.37,384338145761.19,54214003805.97,330963959850.75,-876799134.33,45529341208.96,-1608646313.43,5299244000.0,-8684662597.01,6176043134.33,405618432.84,0.19,0.12,0.04,0.24,0.04,0.09
Healthcare,65,86291358263.14,51.62,4.77,239.43,3766382846.15,5030931215.38,0.52,2755372538.46,0.15,0.06,0.05,0.11,49802619468.75,2.0,6.53,13430463153.85,1.62,1332893600.0,49412773938.45,15050808215.38,32051741584.62,-1006761646.14,5349596599.98,-2889906969.23,3350785907.71,-9701211615.4,4357547553.85,264892646.15,0.01,0.18,0.04,0.02,0.04,0.06
Industrials,73,50868351887.78,27.32,3.45,230.17,2986984972.6,3720620890.41,0.34,2058285684.93,0.16,0.09,0.14,0.14,22488700972.59,1.57,63.6,9803121410.96,1.14,1619302136.99,32870337315.05,11666223246.56,24088706876.71,-1168237383.56,2797716616.42,-767650712.3,1852302986.29,-8868506630.14,3020540369.85,109401356.16,0.03,0.2,0.04,0.04,0.04,0.07
Real Estate,31,31016253010.58,34.32,7.51,125.14,1232102741.32,2235292096.77,0.49,779692967.1,0.32,0.03,0.1,-33.13,4987582258.06,2.65,3.72,11742815225.81,2.32,951503903.23,26999407612.9,13003884645.16,14907150612.9,-710166064.52,895344870.94,-1115491096.77,1083714645.16,-12108539774.23,1793880709.68,67672193.55,-12.16,378.47,0.04,0.04,0.04,-4.26
Technology,79,163294162276.46,57.45,7.45,238.58,4911246810.13,6437831417.72,0.54,3896089367.09,0.18,0.09,0.51,0.22,22562908582.28,1.77,30.61,8744810000.0,1.43,1097323215.19,36849498784.81,10066327949.37,22765325037.97,-1545961607.59,5828798291.14,-1160707962.01,4158119949.35,-4237529658.23,5704081556.95,855778936.71,0.03,0.07,0.04,0.03,0.04,0.08
Utilities,31,34802624842.32,10.03,2.52,77.17,2860728387.1,4628615612.9,0.39,1680873838.71,0.2,0.02,0.09,0.05,14523660161.29,0.76,2.25,23572369645.16,0.61,3137400419.35,64729802000.0,26884708774.19,47289376419.35,-4686452161.29,582199354.84,-1051372806.45,-1228231870.97,-26302509419.35,3458220290.32,52526419.35,0.04,-0.07,0.04,0.04,0.04,0.05
